id,date,title,subtitle,imageUrl,sort: Population,tag: Country,sort: GDP,tag: Language
1,,Seattle,The Emerald City,images/c0001.jpg,652000,USA,300,English
2,,Melbourne,City by the Bay,images/c0002.jpg,4087000,Australia,91,English
3,,New York,The Big Apple,images/c0003.jpg,8406000,USA,"1,558",English
4,,Atlanta,Hotlanta,images/c0004.jpg,447000,USA,325,English
5,,Austin,Bat City,images/c0005.jpg,885000,USA,115,English
6,,Los Angeles,The City of Angels,images/c0006.jpg,185500000,USA,867,English
7,,San Francisco,Frisco,images/c0007.jpg,837000,USA,412,English
8,,Paris,The City of Love,images/c0008.jpg,2240000,France,688,French
9,,Montreal,La Belle Ville,images/c0009.jpg,1650000,Canada,155,French
